番号,山名,よみがな,所在地,level,elevation,lat,lng,tags,styles,purposes,access,time_car,time_public,course_time_total,description,trailhead_name,has_hut,has_onsen,has_ropeway,has_cablecar,has_tent,difficulty_score,日本百名山タグ
1,利尻山（利尻富士）,りしりざん（りしりふじ）,北海道,中級,1721,45.1786111,141.2419444,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,利尻山（利尻富士）（標高1721m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
2,羅臼岳,らうすだけ,北海道,中級,1661,44.0758333,145.1222222,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,羅臼岳（標高1661m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
3,斜里岳,しゃりだけ,北海道,中級,1547,43.7655555,144.7177777,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,斜里岳（標高1547m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
4,阿寒岳（雌阿寒岳）,あかんだけ（めあかんだけ）,北海道,初級,1499,43.3866666,144.0088888,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,阿寒岳（雌阿寒岳）（標高1499m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,2,Yes
5,大雪山（旭岳）,だいせつざん（あさひだけ）,北海道,中級,2291,43.6636111,142.8541666,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,大雪山（旭岳）（標高2291m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
6,トムラウシ山,とむらうしやま,北海道,中級,2141,43.5272222,142.8488888,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,トムラウシ山（標高2141m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
7,十勝岳,とかちだけ,北海道,中級,2077,43.4180555,142.6863888,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,十勝岳（標高2077m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
8,幌尻岳,ぽろしりだけ,北海道,中級,2052,42.7194444,142.6827777,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,幌尻岳（標高2052m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
9,後方羊蹄山（羊蹄山）,しりべしやま（ようていざん）,北海道,中級,1898,42.8266666,140.8113888,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,後方羊蹄山（羊蹄山）（標高1898m）は北海道に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
10,岩木山,いわきやま,青森県,中級,1625,40.6558333,140.3030555,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,岩木山（標高1625m）は青森県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
11,八甲田山（大岳）,はっこうださん（おおだけ）,青森県,中級,1585,40.6588888,140.8772222,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,八甲田山（大岳）（標高1585m）は青森県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
12,八幡平,はちまんたい,岩手県,中級,1613,39.9577777,140.8541666,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,八幡平（標高1613m）は岩手県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
13,岩手山,いわてさん,岩手県,中級,2038,39.8525,141.0011111,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,岩手山（標高2038m）は岩手県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
14,早池峰山,はやちねやま,岩手県,中級,1917,39.5586111,141.4886111,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,早池峰山（標高1917m）は岩手県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
15,鳥海山（新山）,ちょうかいさん（しんざん）,山形県,中級,2236,39.0991666,140.0488888,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,鳥海山（新山）（標高2236m）は山形県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
16,月山,がっさん,山形県,中級,1984,38.5488888,140.0269444,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,月山（標高1984m）は山形県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
17,朝日岳（大朝日岳）,あさひだけ（おおあさひだけ）,山形県,中級,1871,38.2605555,139.9222222,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,朝日岳（大朝日岳）（標高1871m）は山形県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
18,蔵王山（熊野岳）,ざおうざん（くまのだけ）,山形県,中級,1841,38.1436111,140.44,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,蔵王山（熊野岳）（標高1841m）は山形県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,3,Yes
19,飯豊山,いいでさん,福島県,中級,2105,37.8547222,139.7072222,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,飯豊山（標高2105m）は福島県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
20,吾妻山（西吾妻山）,あづまやま（にしあづまやま）,山形県・福島県,中級,2035,37.7383333,140.1408333,日本百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,吾妻山（西吾妻山）（標高2035m）は山形県・福島県に位置する山で、日本百名山に選ばれています。,,0,0,0,0,0,4,Yes
