mountain_name,pref
天塩岳,北海道
石狩岳,北海道
ニペソツ山,北海道
カムイエクウチカウシ山,北海道
ペテガリ岳,北海道
芦別岳,北海道
夕張岳,北海道
暑寒別岳,北海道
樽前山,北海道
駒ヶ岳,北海道
白神岳,青森県
姫神山,山形県・岩手県
駒ヶ岳,秋田県
和賀岳,岩手県・秋田県
焼石岳,岩手県
栗駒山,宮城県・岩手県
神室山,山形県・秋田県
森吉山,秋田県
以東岳,山形県・新潟県
船形山,宮城県・山形県
杁差岳,新潟県
二王子岳,新潟県
御神楽岳,新潟県
守門岳,新潟県
中ノ岳,新潟県
八海山,新潟県
荒沢岳,新潟県
佐武流山,新潟県・長野県
鳥甲山,長野県
帝釈山,栃木県・福島県
朝日岳,福島県
女峰山,栃木県
仙ノ倉山,新潟県・群馬県
白砂山,群馬県・長野県
岩菅山,長野県
浅間隠山,群馬県
榛名山,群馬県
妙義山,群馬県
荒船山,群馬県・長野県
御座山,長野県
武甲山,埼玉県
白石山,埼玉県
茅ヶ岳,山梨県
乾徳山,山梨県
大岳山,京都府・東京都
三ッ峠山,山梨県
御正体山,山梨県
毛無山,山梨県
愛鷹山,静岡県
天狗岳,長野県
黒姫山,長野県
戸隠山,長野県
飯縄山,長野県
雪倉岳,富山県・新潟県
針ノ木岳,富山県・長野県
烏帽子岳,富山県・長野県
赤牛岳,富山県
毛勝山,富山県
大日岳,富山県
有明山,長野県
餓鬼岳,長野県
燕岳,長野県
大天井岳,長野県
霞沢岳,長野県
鋸岳,山梨県・長野県
農鳥岳,山梨県・静岡県
上河内岳,静岡県
池口岳,長野県・静岡県
大無間山,静岡県
櫛形山,山梨県
笊ヶ岳,山梨県・静岡県
七面山,山梨県
小秀山,岐阜県・長野県
経ヶ岳,長野県
南駒ヶ岳,長野県
安平路山,長野県
金剛堂山,富山県
笈ヶ岳,富山県・石川県
大日ヶ岳,岐阜県
位山,岐阜県
能郷白山,岐阜県
御在所岳,三重県・滋賀県
釈迦ヶ岳,奈良県
伯母子岳,奈良県
金剛山,奈良県
武奈ヶ岳,滋賀県
氷ノ山,兵庫県・鳥取県
蒜山,岡山県・鳥取県
三瓶山,島根県
三嶺,徳島県・高知県
東赤石山,愛媛県
笹ヶ峰,愛媛県・高知県
英彦山,大分県・福岡県
雲仙岳,長崎県
由布岳,大分県
大崩山,宮崎県
市房山,宮崎県・熊本県
尾鈴山,宮崎県
高千穂峰,宮崎県
御岳,鹿児島県
