番号,山名,よみがな,所在地,level,elevation,lat,lng,tags,styles,purposes,access,time_car,time_public,course_time_total,description,trailhead_name,has_hut,has_onsen,has_ropeway,has_cablecar,has_tent,difficulty_score,日本百名山タグ
181,能郷白山（権現山）,のうごうはくさん（ごんげんさん）,岐阜県,中級,1617,35.7625,136.5141666,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,能郷白山（権現山）（標高1617m）は岐阜県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
182,御在所山,ございしょやま,滋賀県･三重県,初級,1212,35.0205555,136.4177777,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,御在所山（標高1212m）は滋賀県･三重県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
183,金剛山,こんごうざん,奈良県,初級,1125,34.4194444,135.6730555,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,金剛山（標高1125m）は奈良県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
184,釈迦ヶ岳,しゃかがだけ,奈良県,中級,1800,34.1144444,135.9030555,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,釈迦ヶ岳（標高1800m）は奈良県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
185,伯母小岳,おばこだけ,奈良県,初級,1344,34.0775,135.6508333,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,伯母小岳（標高1344m）は奈良県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
186,武奈ヶ岳,ぶながだけ,滋賀県,初級,1214,35.2647222,135.8969444,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,武奈ヶ岳（標高1214m）は滋賀県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
187,氷ノ山（須賀ノ山）,ひょうのせん（すがのせん）,兵庫県・鳥取県,中級,1510,35.3538888,134.5138888,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,氷ノ山（須賀ノ山）（標高1510m）は兵庫県・鳥取県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
188,蒜山（上蒜山）,ひるぜん（かみひるぜん）,鳥取県･岡山県,初級,1202,35.325,133.6633333,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,蒜山（上蒜山）（標高1202m）は鳥取県･岡山県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
189,三瓶山（男三瓶山）,さんべさん（おさんべさん）,島根県,初級,1126,35.1405555,132.6216666,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,三瓶山（男三瓶山）（標高1126m）は島根県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
190,三嶺,みうね,徳島県･高知県,中級,1894,33.8394444,133.9877777,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,三嶺（標高1894m）は徳島県･高知県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
191,東赤石山,ひがしあかいしやま,愛媛県,中級,1706,33.875,133.375,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,東赤石山（標高1706m）は愛媛県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
192,笹ヶ峰,ささがみね,愛媛県･高知県,中級,1860,33.8280555,133.2747222,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,笹ヶ峰（標高1860m）は愛媛県･高知県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
193,英彦山（南岳）,ひこさん,福岡県･大分県,初級,1199,33.4761111,130.9261111,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,英彦山（南岳）（標高1199m）は福岡県･大分県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
194,雲仙岳（普賢岳）,うんぜんだけ（ふげんだけ）,長崎県,初級,1359,32.76,130.2922222,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,雲仙岳（普賢岳）（標高1359m）は長崎県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
195,由布岳,ゆふだけ,大分県,中級,1583,33.2822222,131.3902777,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,由布岳（標高1583m）は大分県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
196,大崩山,おおくえやま,宮崎県,中級,1644,32.7377777,131.5130555,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,大崩山（標高1644m）は宮崎県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
197,市房山,いちふさやま,熊本県・宮崎県,中級,1721,32.3116666,131.1011111,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,市房山（標高1721m）は熊本県・宮崎県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
198,尾鈴山,おすずやま,宮崎県,初級,1405,32.2991666,131.4266666,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,尾鈴山（標高1405m）は宮崎県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
199,霧島山（高千穂峰）,きりしまやま（たかちほみね）,宮崎県,中級,1574,31.8863888,130.9188888,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,240,300,,霧島山（高千穂峰）（標高1574m）は宮崎県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,3,No
200,御岳（北岳）,おんたけ（きただけ）,鹿児島県,初級,1117,31.5886111,130.6547222,日本二百名山|自然,自然,登山|リフレッシュ,車|公共交通機関,120,160,,御岳（北岳）（標高1117m）は鹿児島県に位置する山で、日本二百名山に選ばれています。,,0,0,0,0,0,2,No
