name,kana
"天塩岳","てしおだけ"
"石狩岳","いしかりだけ"
"ニペソツ山","にぺそつやま"
"カムイエクウチカウシ山","かむいえくうちかうしやま"
"ペテガリ岳","ぺてがりだけ"
"芦別岳","あしべつだけ"
"夕張岳","ゆうばりだけ"
"暑寒別岳","しょかんべつだけ"
"樽前山","たるまえさん"
"姫神山","ひめかみやま"
"和賀岳","わがだけ"
"栗駒山","くりこまやま"
"神室山","かむろさん"
"森吉山","もりよしざん"
"以東岳","いとうだけ"
"船形山","ふながたやま"
"杁差岳","えぶりさしだけ"
"二王子岳","にのうじだけ"
"守門岳","すもんだけ"
"中ノ岳","なかのだけ"
"八海山","はっかいさん"
"荒沢岳","あらさわだけ"
"佐武流山","さぶりゅうやま"
"鳥甲山","とりかぶとやま"
"帝釈山","たいしゃくざん"
"女峰山","にょほうさん"
"仙ノ倉山","せんのくらやま"
"岩菅山","いわすげやま"
"榛名山","はるなさん"
"妙義山","みょうぎさん"
"荒船山","あらふねやま"
"武甲山","ぶこうさん"
"茅ヶ岳","かやがたけ"
"乾徳山","けんとくさん"
"毛無山","けなしさん"
"愛鷹山","あしたかやま"
"天狗岳","てんぐだけ"
"黒姫山","くろひめやま"
"戸隠山","とがくしやま"
"飯縄山","いいづなやま"
"雪倉岳","ゆきくらだけ"
"針ノ木岳","はりのきだけ"
"烏帽子岳","えぼしだけ"
"赤牛岳","あかうしだけ"
"毛勝山","けかつやま"
"有明山","ありあけやま"
"餓鬼岳","がきだけ"
"燕岳","つばくろだけ"
"霞沢岳","かすみざわだけ"
"鋸岳","のこぎりだけ"
"農鳥岳","のうとりだけ"
"上河内岳","かみこうちだけ"
"池口岳","いけぐちだけ"
"櫛形山","くしがたやま"
"笊ヶ岳","ざるがたけ"
"七面山","しちめんざん"
"小秀山","こひでやま"
"経ヶ岳","きょうがたけ"
"南駒ヶ岳","みなみこまがたけ"
"安平路山","あんぺいじやま"
"笈ヶ岳","おいずるがたけ"
"位山","くらいやま"
"高千穂峰","たかちほのみね"
